0.689,0.543
0.681,0.573
0.668,0.594
0.655,0.620
0.637,0.639
0.617,0.661
0.599,0.678
0.585,0.691
0.570,0.704
0.550,0.726
0.542,0.729
0.526,0.740
0.515,0.746
0.504,0.754
0.492,0.766
0.481,0.769
0.476,0.773
0.468,0.781
0.457,0.788
0.455,0.784
0.443,0.795
0.438,0.799
0.431,0.802
0.419,0.808
0.412,0.815
0.409,0.812
0.396,0.818
0.391,0.823
0.382,0.829
0.376,0.830
0.368,0.838
0.361,0.839
0.356,0.843
0.347,0.847
0.342,0.849
0.332,0.853
0.321,0.857
0.325,0.859
0.310,0.867
0.302,0.870
0.254,0.894
0.241,0.899
0.235,0.905
0.236,0.903
0.232,0.903
0.226,0.906
0.223,0.907
0.224,0.908
0.219,0.910
0.217,0.912
0.211,0.912
0.209,0.913
0.209,0.916
0.206,0.917
0.202,0.917
0.201,0.919
0.202,0.918
0.198,0.921
0.197,0.920
0.191,0.922
0.187,0.926
0.185,0.925
0.182,0.926
0.183,0.926
0.185,0.926
0.181,0.927
0.179,0.928
0.173,0.931
0.173,0.931
0.171,0.932
0.167,0.934
0.165,0.935
0.169,0.931
0.163,0.935
0.158,0.938
0.160,0.938
0.157,0.937
0.155,0.937
0.150,0.941
0.149,0.943
