0.686,0.550
0.671,0.591
0.657,0.623
0.626,0.652
0.603,0.677
0.578,0.703
0.561,0.712
0.539,0.731
0.525,0.743
0.512,0.750
0.496,0.762
0.487,0.763
0.472,0.778
0.462,0.783
0.454,0.785
0.439,0.795
0.424,0.807
0.415,0.810
0.405,0.816
0.387,0.824
0.374,0.831
0.363,0.839
0.358,0.840
0.349,0.843
0.340,0.850
0.321,0.861
0.319,0.858
0.307,0.868
0.301,0.865
0.284,0.877
0.276,0.880
0.268,0.883
0.261,0.886
0.252,0.895
0.244,0.896
0.239,0.900
0.228,0.905
0.216,0.910
0.212,0.912
0.205,0.914
0.144,0.943
0.131,0.949
0.129,0.949
0.120,0.954
0.118,0.954
0.116,0.954
0.110,0.956
0.107,0.961
0.106,0.958
0.105,0.959
0.099,0.964
0.099,0.962
0.094,0.964
0.090,0.966
0.093,0.966
0.088,0.966
0.087,0.967
0.084,0.968
0.081,0.969
0.079,0.970
0.077,0.972
0.072,0.973
0.076,0.971
0.072,0.973
0.068,0.975
0.068,0.975
0.069,0.974
0.062,0.977
0.062,0.979
0.060,0.978
0.057,0.979
0.056,0.979
0.056,0.979
0.054,0.979
0.054,0.980
0.052,0.981
0.053,0.982
0.046,0.983
0.049,0.983
0.043,0.984
