0.683,0.563
0.664,0.596
0.643,0.629
0.621,0.660
0.601,0.676
0.584,0.696
0.563,0.714
0.543,0.726
0.528,0.740
0.511,0.749
0.497,0.760
0.480,0.773
0.463,0.784
0.450,0.790
0.433,0.800
0.415,0.812
0.394,0.824
0.380,0.829
0.360,0.843
0.337,0.856
0.317,0.864
0.293,0.881
0.270,0.891
0.241,0.909
0.221,0.917
0.188,0.933
0.169,0.940
0.132,0.960
0.123,0.966
0.093,0.977
0.072,0.984
0.055,0.990
0.057,0.991
0.048,0.994
0.025,0.998
0.014,0.999
0.013,0.999
0.083,0.986
0.014,1.000
0.045,0.994
0.009,1.000
0.008,1.000
0.008,1.000
0.007,1.000
0.007,1.000
0.007,1.000
0.007,1.000
0.007,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.006,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.005,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
0.004,1.000
